day_of_year,year,station_name,latitude,longitude,gallon_price,barrel_price
8,2020,Hawkeye Convenience Store,41.9687369,-91.7334379,2.45,59.99
8,2020,Kum & Go,42.00935140000001,-91.6355171,2.3,59.99
8,2020,Murphy USA,41.9480482,-91.7168798,2.3,59.99
8,2020,Casey's,42.010201,-91.6623568,2.35,59.99
8,2020,Hawkeye Convenience Store,41.956042,-91.726507,2.45,59.99
8,2020,Casey's,41.94336309999999,-91.6755828,2.35,59.99
8,2020,Sam's Club Fuel Center,42.0337591,-91.680571,2.29,59.99
8,2020,Fas Mart,42.0343246,-91.6780097,2.35,59.99
8,2020,Casey's,42.01310369999999,-91.63545289999999,2.3,59.99
8,2020,Hawkeye Convenience Store,41.961958,-91.66782119999999,2.4,59.99
8,2020,FASMART,41.956432,-91.676417,2.7,59.99
8,2020,Casey's,41.94514789999999,-91.6724017,2.35,59.99
8,2020,Casey's,41.8911603,-91.6787076,2.29,59.99
8,2020,Kwik Shop,42.0071701,-91.66259660000001,2.35,59.99
8,2020,Kwik Star,41.9445594,-91.667744,2.34,59.99
8,2020,Casey's,41.9765921,-91.6190539,2.35,59.99
8,2020,Casey's,42.0470424,-91.64171189999999,2.32,59.99
8,2020,Casey's,41.92252339999999,-91.6367779,2.35,59.99
8,2020,Casey's,41.9380412,-91.65651899999999,2.35,59.99
8,2020,Casey's,41.9288416,-91.7787472,2.35,59.99
8,2020,Casey's,41.8882115,-91.6749786,2.29,59.99
8,2020,Casey's,42.02848229999999,-91.63203969999999,2.32,59.99
8,2020,BP,42.093885,-91.697705,2.5,59.99
9,2020,Shell,41.9743798,-91.71553589999999,2.35,59.63
9,2020,BP,41.9644691,-91.7066488,2.33,59.63
9,2020,Casey's,41.97983900000001,-91.71555579999999,2.32,59.63
9,2020,CENEX GAS STATION 7 STAR LIQUOR & TOBACCO OUTLET,41.9782629,-91.680188,nan,59.63
9,2020,Kwik Star Gas Station,41.9552977,-91.7208885,2.4,59.63
9,2020,Casey's,41.9704349,-91.6769253,2.32,59.63
9,2020,Shell,41.9642396,-91.7397586,2.35,59.63
9,2020,Casey's,41.9887791,-91.6825105,2.35,59.63
9,2020,Casey's,41.96413690000001,-91.7300951,2.3,59.63
9,2020,Phillips 66,41.9431968,-91.7473739,2.36,59.63
9,2020,Casey's,41.9727576,-91.6620255,2.35,59.63
9,2020,Casey's,41.9792506,-91.681721,2.35,59.63
9,2020,Casey's,41.98488880000001,-91.65742019999999,2.3,59.63
9,2020,Fas Mart,41.988141,-91.6528625,2.35,59.63
9,2020,BP,42.0058517,-91.635257,2.3,59.63
9,2020,Kwik Shop,42.0217827,-91.6661146,2.35,59.63
9,2020,Kwik Shop- Cedar Rapids,41.972034,-91.6845599,2.32,59.63
9,2020,BP,42.043893,-91.689638,2.35,59.63
9,2020,Kum & Go,41.9634851,-91.7071271,2.35,59.63
9,2020,Station Llc,41.9436388,-91.747428,2.36,59.63
9,2020,HILL BROS (CONOCO/PHILLIPS),41.977438,-91.6425469,2.28,59.63
9,2020,Casey's,42.0349748,-91.65795399999999,2.33,59.63
9,2020,Hawkeye Convenience Store,41.9687369,-91.7334379,2.45,59.63
9,2020,Kum & Go,42.00935140000001,-91.6355171,2.3,59.63
9,2020,Murphy USA,41.9480482,-91.7168798,2.3,59.63
9,2020,Casey's,42.010201,-91.6623568,2.35,59.63
9,2020,Hawkeye Convenience Store,41.956042,-91.726507,2.45,59.63
9,2020,Casey's,41.94336309999999,-91.6755828,2.35,59.63
9,2020,Sam's Club Fuel Center,42.0337591,-91.680571,2.29,59.63
9,2020,Fas Mart,42.0343246,-91.6780097,2.35,59.63
9,2020,Casey's,42.01310369999999,-91.63545289999999,2.3,59.63
9,2020,Hawkeye Convenience Store,41.961958,-91.66782119999999,2.6,59.63
9,2020,FASMART,41.956432,-91.676417,2.7,59.63
9,2020,Casey's,41.94514789999999,-91.6724017,2.35,59.63
9,2020,Casey's,41.8911603,-91.6787076,2.29,59.63
9,2020,Kwik Shop,42.0071701,-91.66259660000001,2.35,59.63
9,2020,Kwik Star,41.9445594,-91.667744,2.4,59.63
9,2020,Casey's,42.0470424,-91.64171189999999,2.32,59.63
9,2020,Casey's,41.92252339999999,-91.6367779,2.35,59.63
9,2020,Casey's,41.9380412,-91.65651899999999,2.35,59.63
9,2020,Casey's,41.9288416,-91.7787472,2.35,59.63
9,2020,Casey's,41.8882115,-91.6749786,2.29,59.63
9,2020,Casey's,42.02848229999999,-91.63203969999999,2.32,59.63
9,2020,BP,42.093885,-91.697705,2.5,59.63
10,2020,Shell,41.9743798,-91.71553589999999,2.3,59.36
10,2020,BP,41.9644691,-91.7066488,2.29,59.36
10,2020,Casey's,41.97983900000001,-91.71555579999999,2.32,59.36
10,2020,Kwik Star Gas Station,41.9552977,-91.7208885,2.4,59.36
10,2020,Casey's,41.9704349,-91.6769253,2.32,59.36
10,2020,Shell,41.9642396,-91.7397586,2.35,59.36
10,2020,Casey's,41.9887791,-91.6825105,2.35,59.36
10,2020,Casey's,41.96413690000001,-91.7300951,2.3,59.36
10,2020,Phillips 66,41.9431968,-91.7473739,2.36,59.36
10,2020,Casey's,41.9727576,-91.6620255,2.35,59.36
10,2020,Casey's,41.9792506,-91.681721,2.35,59.36
10,2020,Casey's,41.98488880000001,-91.65742019999999,2.35,59.36
10,2020,Fas Mart,41.988141,-91.6528625,2.35,59.36
10,2020,BP,42.0058517,-91.635257,2.3,59.36
10,2020,Kwik Shop,42.0217827,-91.6661146,2.35,59.36
10,2020,Kwik Shop- Cedar Rapids,41.972034,-91.6845599,2.32,59.36
10,2020,BP,42.043893,-91.689638,2.31,59.36
10,2020,Kum & Go,41.9634851,-91.7071271,2.3,59.36
10,2020,Station Llc,41.9436388,-91.747428,2.36,59.36
10,2020,HILL BROS (CONOCO/PHILLIPS),41.977438,-91.6425469,2.28,59.36
10,2020,Casey's,42.0349748,-91.65795399999999,2.32,59.36
10,2020,Hawkeye Convenience Store,41.9687369,-91.7334379,2.25,59.36
10,2020,Kum & Go,42.00935140000001,-91.6355171,2.3,59.36
10,2020,Murphy USA,41.9480482,-91.7168798,2.27,59.36
10,2020,Casey's,42.010201,-91.6623568,2.35,59.36
10,2020,Hawkeye Convenience Store,41.956042,-91.726507,2.4,59.36
10,2020,Casey's,41.94336309999999,-91.6755828,2.34,59.36
10,2020,Sam's Club Fuel Center,42.0337591,-91.680571,2.29,59.36
10,2020,Fas Mart,42.0343246,-91.6780097,2.35,59.36
10,2020,Casey's,42.01310369999999,-91.63545289999999,2.3,59.36
10,2020,Hawkeye Convenience Store,41.961958,-91.66782119999999,2.4,59.36
10,2020,FASMART,41.956432,-91.676417,2.7,59.36
10,2020,Casey's,41.94514789999999,-91.6724017,2.34,59.36
10,2020,Casey's,41.8911603,-91.6787076,2.28,59.36
10,2020,Kwik Shop,42.0071701,-91.66259660000001,2.35,59.36
10,2020,Kwik Star,41.9445594,-91.667744,2.4,59.36
10,2020,Casey's,41.9765921,-91.6190539,2.35,59.36
10,2020,Casey's,42.04720040000001,-91.641532,2.32,59.36
10,2020,Casey's,41.92252339999999,-91.6367779,2.35,59.36
10,2020,Casey's,41.9380412,-91.65651899999999,2.34,59.36
10,2020,Casey's,41.9288416,-91.7787472,2.35,59.36
10,2020,Casey's,41.8882115,-91.6749786,2.28,59.36
10,2020,Casey's,42.02848229999999,-91.63203969999999,2.32,59.36
11,2020,BP,41.9644691,-91.7066488,2.29,59.12
11,2020,CENEX GAS STATION 7 STAR LIQUOR & TOBACCO OUTLET,41.9782629,-91.680188,nan,59.12
11,2020,Casey's,41.9704349,-91.6769253,2.32,59.12
11,2020,Casey's,41.9887791,-91.6825105,2.33,59.12
11,2020,Casey's,41.96413690000001,-91.7300951,2.3,59.12
11,2020,BP,42.043893,-91.689638,2.31,59.12
11,2020,Casey's,41.94336309999999,-91.6755828,2.32,59.12
11,2020,Casey's,42.01310369999999,-91.63545289999999,2.28,59.12
11,2020,Hawkeye Convenience Store,41.961958,-91.66782119999999,2.4,59.12
11,2020,Casey's,41.8911603,-91.6787076,2.27,59.12
11,2020,Kwik Shop,42.0071701,-91.66259660000001,2.35,59.12
11,2020,Kwik Star,41.9445594,-91.667744,2.33,59.12
11,2020,Casey's,41.92252339999999,-91.6367779,2.33,59.12
11,2020,BP,42.093885,-91.697705,2.5,59.12
